Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [El Guante],Precio [El Guante],En inventario [El Guante],Existencias bajas [El Guante]
pulverizador--500-cc-gp-cristal,10156,PULVERIZADOR  500 CC GP CRISTAL,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,1567.00,,,,Y,Y,2800.00,0.000,0.000
pulverizador-250-cc-gran-presion,10155,PULVERIZADOR 250 CC GRAN PRESION,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,1100.00,,,,Y,Y,2200.00,6.000,0.000
quitamanchas,10011,QUITAMANCHAS,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,1673.00,,,,Y,Y,3000.00,10.000,0.000
raticida-geltek-x-10-u,10164,RATICIDA GELTEK X 10 U,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2628.00,,,,Y,Y,5200.00,0.000,0.000
recto-econo,10043,RECTO ECONO,ESCOBAS,,N,,,,,,,1178.00,,,,Y,Y,2500.00,5.000,0.000
recto-gigante-escob-sina-10-cm,10098,RECTO GIGANTE ESCOB SINA 10 CM,ESCOBAS,,N,,,,,,,1886.00,,,,Y,Y,3500.00,10.000,0.000
regulador-ph,10124,REGULADOR PH,PILETA,,N,,,,,,,1300.00,,,,Y,Y,2800.00,5.000,0.000
rejilla-nido-abeja-eco-40-x-45,10107,REJILLA NIDO ABEJA ECO 40 X 45,ESPONJAS Y TRAPOS,,N,,,,,,,527.00,,,,Y,Y,1200.00,10.000,0.000
repelente-8-hs-citronella,10163,REPELENTE 8 HS CITRONELLA,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2200.00,,,,Y,Y,4800.00,20.000,0.000
repelente-8-hs-locion-idefix,10161,REPELENTE 8 HS LOCION IDEFIX,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2732.00,,,,Y,Y,6000.00,8.000,0.000
repelente-aero-escudo,10162,REPELENTE AERO ESCUDO,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,3082.00,,,,Y,Y,6000.00,20.000,0.000
residuo-10-l-red-vaiven-sina,10149,RESIDUO 10 L RED VAIVEN SINA,PLASTICOS,,N,,,,,,,5293.00,,,,Y,Y,10500.00,2.000,0.000
residuo-12-l-red-sina-t-plana,10144,RESIDUO 12 L RED SINA T PLANA,PLASTICOS,,N,,,,,,,3316.00,,,,Y,Y,6600.00,3.000,0.000
residuo-13-l-pedal-cuad-fl,10146,RESIDUO 13 L PEDAL CUAD FL,PLASTICOS,,N,,,,,,,8788.00,,,,Y,Y,18000.00,2.000,0.000
residuo-15-l-cuad-pedal-desmont-sina,10151,RESIDUO 15 L CUAD PEDAL DESMONT SINA,PLASTICOS,,N,,,,,,,10193.00,,,,Y,Y,20500.00,2.000,0.000
residuo-2.5-l-cuad-vaiven,10141,RESIDUO 2.5 L CUAD VAIVEN,PLASTICOS,,N,,,,,,,2136.00,,,,Y,Y,4200.00,1.000,0.000
residuo-5-l-red-sina-t-plana,10140,RESIDUO 5 L RED SINA T PLANA,PLASTICOS,,N,,,,,,,1580.00,,,,Y,Y,3100.00,3.000,0.000
residuo-6-l-red-vaiven-sina,10150,RESIDUO 6 L RED VAIVEN SINA,PLASTICOS,,N,,,,,,,2772.00,,,,Y,Y,5500.00,1.000,0.000
residuo-7l-t-click,10216,RESIDUO 7L T-CLICK,PLASTICOS,,N,,,,,,,4104.00,,,,Y,Y,8200.00,1.000,0.000
residuo-8-l-red-sina-t-plana,10143,RESIDUO 8 L RED SINA T PLANA,PLASTICOS,,N,,,,,,,2132.00,,,,Y,Y,4800.00,0.000,0.000
residuo-cuadrado-8-lt-vaiven,10231,RESIDUO CUADRADO 8 LT VAIVEN,PLASTICOS,,N,,,,,,,5268.00,,,,Y,Y,10600.00,2.000,1.000
residuo-pedal-7-l-red,10142,RESIDUO PEDAL 7 L RED,PLASTICOS,,N,,,,,,,6570.00,,,,Y,Y,13100.00,1.000,0.000
residuo-vaiven-1o-lt,10232,RESIDUO VAIVEN 1O LT,PLASTICOS,,N,,,,,,,4302.00,,,,Y,Y,8600.00,2.000,1.000
residuos-12-l-red-vaiven-sina,10145,RESIDUOS 12 L RED VAIVEN SINA,PLASTICOS,,N,,,,,,,4843.00,,,,Y,Y,10000.00,0.000,0.000
rollo-cocina-x-200-paños-liss,10177,ROLLO COCINA X 200 PAÑOS LISS,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,1092.33,,,,Y,Y,1900.00,15.000,0.000
rubi-bico-sina,10042,RUBI BICO SINA,ESCOBAS,,N,,,,,,,1555.00,,,,Y,Y,3100.00,5.000,0.000
sacahojas-pileta,10057,SACAHOJAS PILETA,PILETA,,N,,,,,,,3700.00,,,,Y,Y,6500.00,0.000,0.000
sahumador-chico,10191,SAHUMADOR CHICO,PERFUMINAS / AROMA HOGAR,,N,,,,,,,2000.00,,,,Y,Y,3500.00,1.000,0.000
sahumerios-bangladesh-x-10-u,10184,SAHUMERIOS BANGLADESH X 10 U,PERFUMINAS / AROMA HOGAR,,N,,,,,,,311.90,,,,Y,Y,1300.00,50.000,0.000
sahumerios-magistral-aromanza,10185,SAHUMERIOS MAGISTRAL AROMANZA,PERFUMINAS / AROMA HOGAR,,N,,,,,,,1278.00,,,,Y,Y,2400.00,5.000,0.000
sahumerios-organico-aromanza,10186,SAHUMERIOS ORGANICO AROMANZA,PERFUMINAS / AROMA HOGAR,,N,,,,,,,1285.00,,,,Y,Y,2400.00,8.000,0.000
sahumerios-palo-santo-aromanza,10188,SAHUMERIOS PALO SANTO AROMANZA,PERFUMINAS / AROMA HOGAR,,N,,,,,,,1154.00,,,,Y,Y,2200.00,4.000,0.000
sahumerios-tibetanos-aromanza,10187,SAHUMERIOS TIBETANOS AROMANZA,PERFUMINAS / AROMA HOGAR,,N,,,,,,,2091.00,,,,Y,Y,3500.00,3.000,0.000
textil-saphirus,10178,SAPHIRUS TEXTIL,PERFUMINAS / AROMA HOGAR,,N,,,,,,,2500.00,,,,Y,Y,3500.00,12.000,0.000
saphirus-varillas,10226,SAPHIRUS VARILLAS,PERFUMINAS / AROMA HOGAR,,N,,,,,,,2450.00,,,,Y,Y,4300.00,8.000,
secador-doble-goma-sina,10230,SECADOR DOBLE GOMA SINA,SECADORES Y SOPAPAS,,N,,,,,,,1165.00,,,,Y,Y,2400.00,5.000,1.000
secador-negro-x-30-cm,10074,SECADOR NEGRO X 30 CM,SECADORES Y SOPAPAS,,N,,,,,,,1218.00,,,,Y,Y,2500.00,2.000,0.000
secador-negro-40-cm,10075,SECADOR NEGRO X 40 CM,SECADORES Y SOPAPAS,,N,,,,,,,1341.00,,,,Y,Y,2700.00,1.000,0.000
secador-negro-50-cm,10076,SECADOR NEGRO X 50 CM,SECADORES Y SOPAPAS,,N,,,,,,,1898.00,,,,Y,Y,3700.00,1.000,0.000
secador-plastico-x-30-cm-rosca,10082,SECADOR PLASTICO X 30 CM ROSCA,SECADORES Y SOPAPAS,,N,,,,,,,1570.00,,,,Y,Y,3000.00,6.000,
secador-plastico-x-40-cm-rosca,10081,SECADOR PLASTICO X 40 CM ROSCA,SECADORES Y SOPAPAS,,N,,,,,,,1452.00,,,,Y,Y,3100.00,6.000,
secador-rojo-x-30-cm,10077,SECADOR ROJO X 30 CM,SECADORES Y SOPAPAS,,N,,,,,,,1440.00,,,,Y,Y,2900.00,1.000,0.000
secador-rojo-x-40-cm,10078,SECADOR ROJO X 40 CM,SECADORES Y SOPAPAS,,N,,,,,,,1682.00,,,,Y,Y,3300.00,1.000,0.000
secador-rojo-x-50-cm,10079,SECADOR ROJO X 50 CM,,,N,,,,,,,2156.00,,,,Y,Y,4300.00,1.000,0.000
shampoo-antipulgas-y-garrpatas,10007,SHAMPOO ANTIPULGAS Y GARRPATAS,MASCOTAS,,Y,,,,,,,582.97,,,,Y,Y,1500.00,50.000,10.000
shampoo-auto-siliconado,10005,SHAMPOO AUTO SILICONADO,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,549.27,,,,Y,Y,2500.00,50.000,10.000
shampoo-auto-tradicional,10004,SHAMPOO AUTO TRADICIONAL,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,529.20,,,,Y,Y,2100.00,50.000,10.000
shampoo-pelo-premium-(copia),10006,SHAMPOO PELO PREMIUM (copia),LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,708.73,,,,Y,Y,1500.00,50.000,10.000
silicona-aero-lavanda-escudo,10168,SILICONA AERO LAVANDA ESCUDO,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,3563.00,,,,Y,Y,7000.00,4.000,0.000
silicona-liquida,10038,SILICONA LIQUIDA,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,3500.00,,,,Y,Y,7000.00,3.000,0.000
smell-fresh-desinfectante,10172,SMELL FRESH DESINFECTANTE,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2177.00,,,,Y,Y,3800.00,10.000,
smile-car,10182,SMILE CAR,PERFUMINAS / AROMA HOGAR,,N,,,,,,,1300.00,,,,Y,Y,3000.00,30.000,0.000
sopapa-goma-negra-reforzada,10086,SOPAPA GOMA NEGRA REFORZADA,SECADORES Y SOPAPAS,,N,,,,,,,915.00,,,,Y,Y,1800.00,3.000,0.000
sopapita-floppy-samantha,10087,SOPAPITA FLOPPY SAMANTHA,SECADORES Y SOPAPAS,,N,,,,,,,2646.00,,,,Y,Y,4800.00,2.000,0.000
suavizante-original,10001,SUAVIZANTE ORIGINAL,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,969.50,,,,Y,Y,1500.00,60.000,20.000
tableta-fuyi-mosq-x-4-u,10160,TABLETA FUYI MOSQ X 4 U,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,400.00,,,,Y,Y,1000.00,100.000,0.000
tableta-gorrion-mosq-x-4-u,10159,TABLETA GORRION MOSQ X 4 U,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,335.00,,,,Y,Y,800.00,200.000,0.000
tapon-universal-pvc-rejilla,10201,TAPON UNIVERSAL PVC REJILLA,VARIOS,,N,,,,,,,1032.00,,,,Y,Y,2000.00,3.000,0.000
toallitas-fem,10206,TOALLITAS FEM,VARIOS,,N,,,,,,,0.00,,,,Y,Y,variable,0.000,0.000
todo-terreno,10054,TODO TERRENO,ESCOBAS,,N,,,,,,,2534.00,,,,Y,Y,4900.00,5.000,0.000
trapo-cost-sina-gris-48-x-60,10101,TRAPO COST SINA GRIS 48 X 60,ESPONJAS Y TRAPOS,,N,,,,,,,468.00,,,,Y,Y,1200.00,15.000,0.000
trapo-nido-abeja-gris-ln,10103,TRAPO NIDO ABEJA GRIS LN,ESPONJAS Y TRAPOS,,N,,,,,,,1344.00,,,,Y,Y,2600.00,15.000,0.000
trapo-soft-sina-gris-55-x-50,10100,TRAPO SOFT SINA GRIS 55 X 50,ESPONJAS Y TRAPOS,,N,,,,,,,381.00,,,,Y,Y,900.00,6.000,0.000
trapos-cost-blanco-premium-48-x-62,10102,TRAPOS COST BLANCO PREMIUM 48 X 62,ESPONJAS Y TRAPOS,,N,,,,,,,880.00,,,,Y,Y,1800.00,8.000,0.000
velas-blancas-x-4-u-relieve,10193,VELAS BLANCAS X 4 U RELIEVE,PERFUMINAS / AROMA HOGAR,,N,,,,,,,717.00,,,,Y,Y,1400.00,8.000,0.000
velas-de-noche-x-12-u-iluminarte,10192,VELAS DE NOCHE X 12 U ILUMINARTE,PERFUMINAS / AROMA HOGAR,,N,,,,,,,2224.00,,,,Y,Y,3800.00,8.000,0.000
vinagre-blanco,10229,VINAGRE BLANCO,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1200.00,,,,Y,Y,2000.00,5.000,1.000
violin-auto-pvc-premium,10073,VIOLIN AUTO PVC PREMIUM,CEPILLOS,,N,,,,,,,2358.00,,,,Y,Y,4700.00,2.000,0.000
