Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [El Guante],Precio [El Guante],En inventario [El Guante],Existencias bajas [El Guante]
cloro-pastillas-80-g,10016,CLORO PASTILLAS 50 G,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,400.00,,,,Y,Y,800.00,30.000,0.000
conos-cascada-surtidos-bangladesh,10190,CONOS CASCADA SURTIDOS BANGLADESH,PERFUMINAS / AROMA HOGAR,,N,,,,,,,617.00,,,,Y,Y,1400.00,5.000,0.000
coral-escobillon,10053,CORAL ESCOBILLON,ESCOBAS,,N,,,,,,,1732.00,,,,Y,Y,3500.00,5.000,0.000
cortina-baño-doble,10212,CORTINA BAÑO DOBLE ECO,VARIOS,,N,,,,,,,1993.00,,,,Y,Y,3900.00,1.000,0.000
cortina-c/barral-90-cm,10214,CORTINA C/BARRAL 90 CM,VARIOS,,N,,,,,,,4882.00,,,,Y,Y,8000.00,2.000,0.000
cucarachicida-6-est-geltek,10167,CUCARACHICIDA 6 EST GELTEK,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,1858.00,,,,Y,Y,3700.00,5.000,0.000
cucarachicida-geltek-x-35-g,10166,CUCARACHICIDA GELTEK X 35 G,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,6300.00,,,,Y,Y,11200.00,5.000,0.000
deltametrina-derribante,10157,DELTAMETRINA DERRIBANTE,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,3200.00,,,,Y,Y,6000.00,15.000,0.000
desengrasante-amoniacal,10003,DESENGRASANTE AMONIACAL,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,606.36,,,,Y,Y,1500.00,50.000,10.000
desengrasante-ecologico-vegetal,10002,DESENGRASANTE ECOLOGICO VEGETAL,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,566.83,,,,Y,Y,1500.00,50.000,10.000
desengrasante-motores,10228,DESENGRASANTE MOTORES,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,2900.00,,,,Y,Y,4500.00,5.000,1.000
desodorante-piso,10013,DESODORANTE PISO,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,600.00,,,,Y,Y,1500.00,150.000,
destapa-cañerías,10036,DESTAPA CAÑERÍAS,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,1811.00,,,,Y,Y,3000.00,5.000,0.000
detergente-oxigel,10012,DETERGENTE OXIGEL,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,673.18,,,,Y,Y,1500.00,70.000,0.000
difusor-varillas,10180,DIFUSOR VARILLAS,PERFUMINAS / AROMA HOGAR,,N,,,,,,,1600.00,,,,Y,Y,3500.00,0.000,0.000
dorada-bronce-sina-medium-12-gr,10114,DORADA BRONCE SINA MEDIUM 12 GR,ESPONJAS Y TRAPOS,,N,,,,,,,425.00,,,,Y,Y,900.00,7.000,0.000
echo-autobrillo-litch,10218,ECHO AUTOBRILLO LITCH,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1863.40,,,,Y,Y,3700.00,5.000,0.000
escencia-hornillo-bloster-x-1,10183,ESCENCIA HORNILLO BLOSTER X 1,PERFUMINAS / AROMA HOGAR,,N,,,,,,,976.00,,,,Y,Y,2200.00,2.000,0.000
escoba-5-hilos-reforzada,10045,ESCOBA 5 HILOS REFORZADA,ESCOBAS,,N,,,,,,,4226.00,,,,Y,Y,7000.00,5.000,0.000
escobilla-baño-c/-vaso,10060,ESCOBILLA BAÑO C/ VASO,ESCOBAS,,N,,,,,,,1946.00,,,,Y,Y,4500.00,4.000,0.000
escobilla-baño-oferta,10058,ESCOBILLA BAÑO OFERTA,ESCOBAS,,N,,,,,,,592.00,,,,Y,Y,1200.00,4.000,0.000
escobilla-baño-redonda,10059,ESCOBILLA BAÑO REDONDA,ESCOBAS,,N,,,,,,,1210.00,,,,Y,Y,2400.00,2.000,0.000
escobon-sina,10050,ESCOBON SINA,ESCOBAS,,N,,,,,,,1869.00,,,,Y,Y,3700.00,3.000,0.000
escudo-lustramueble,10171,ESCUDO LUSTRAMUEBLE,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2374.00,,,,Y,Y,4000.00,4.000,0.000
escudo-mch,10170,ESCUDO MCH AERO,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2664.00,,,,Y,Y,4800.00,10.000,0.000
escudo-mmm-aero,10169,ESCUDO MMM AERO,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2286.00,,,,Y,Y,4500.00,6.000,0.000
escudo-pulgas-garrapatas,10224,ESCUDO PULGAS GARRAPATAS,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2180.00,,,,Y,Y,3700.00,12.000,
esferas-magicas-aromanza,10189,ESFERAS MAGICAS AROMANZA,PERFUMINAS / AROMA HOGAR,,N,,,,,,,612.00,,,,Y,Y,1300.00,1.000,0.000
espirales-gorrion-4-u,10158,ESPIRALES GORRION 4 U,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,600.00,,,,Y,Y,1200.00,100.000,0.000
esponja-auto-gigante,10115,ESPONJA AUTO GIGANTE,ESPONJAS Y TRAPOS,,N,,,,,,,893.00,,,,Y,Y,1800.00,12.000,0.000
esponja-cocina-flat,10116,ESPONJA COCINA FLAT,ESPONJAS Y TRAPOS,,N,,,,,,,242.00,,,,Y,Y,600.00,12.000,0.000
esponja-cocina-lisa,10117,ESPONJA COCINA LISA,ESPONJAS Y TRAPOS,,N,,,,,,,265.00,,,,Y,Y,700.00,12.000,0.000
esponja-cocina-perlada,10119,ESPONJA COCINA PERLADA,ESPONJAS Y TRAPOS,,N,,,,,,,446.00,,,,Y,Y,1000.00,12.000,0.000
esponja-cocina-salvau-xl,10118,ESPONJA COCINA SALVAU XL,ESPONJAS Y TRAPOS,,N,,,,,,,429.00,,,,Y,Y,900.00,12.000,0.000
esponja-cocina-suave-teflon,10120,ESPONJA COCINA SUAVE TEFLON,,,N,,,,,,,604.00,,,,Y,Y,1300.00,12.000,0.000
exterior-escoba-sina,10048,EXTERIOR ESCOBA SINA,ESCOBAS,,N,,,,,,,2381.00,,,,Y,Y,4700.00,0.000,0.000
felpudo-antidez-tapizmel-gde,10203,FELPUDO ANTIDEZ TAPIZMEL GDE,VARIOS,,N,,,,,,,3175.00,,,,Y,Y,5400.00,2.000,0.000
fluido-desinfectante,10173,FLUIDO DESINFECTANTE,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,2355.00,,,,Y,Y,4500.00,5.000,0.000
fosforos-masera-gde,10208,FOSFOROS MADERA GDE,VARIOS,,N,,,,,,,0.00,,,,Y,Y,1200.00,6.000,0.000
franela-sina-100-x-100-algod,10109,FRANELA SINA 100 X 100 ALGOD,ESPONJAS Y TRAPOS,,N,,,,,,,750.00,,,,Y,Y,1600.00,5.000,0.000
fuenton-sina-c/asa-11-l,10135,FUENTON SINA C/ASA 11 L,PLASTICOS,,N,,,,,,,2224.00,,,,Y,Y,4500.00,3.000,0.000
fuenton-sina-c/asa-20-l,10137,FUENTON SINA C/ASA 20 L,PLASTICOS,,N,,,,,,,2716.00,,,,Y,Y,5500.00,2.000,0.000
fuenton-sina-c/asa-22-l,10136,FUENTON SINA C/ASA 22 L,PLASTICOS,,N,,,,,,,3919.00,,,,Y,Y,7800.00,0.000,0.000
fuenton-sina-c/asa-25-l,10138,FUENTON SINA C/ASA 25 L,PLASTICOS,,N,,,,,,,3470.00,,,,Y,Y,6900.00,2.000,0.000
